"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (sc)","FT% (sc)","FC% (sc)","FS% (sc)","FO% (sc)","SI% (sc)","SL% (sc)","CU% (sc)","KC% (sc)","EP% (sc)","CH% (sc)","SC% (sc)","KN% (sc)","UN% (sc)","vFA (sc)","vFT (sc)","vFC (sc)","vFS (sc)","vFO (sc)","vSI (sc)","vSL (sc)","vCU (sc)","vKC (sc)","vEP (sc)","vCH (sc)","vSC (sc)","vKN (sc)","FA-X (sc)","FT-X (sc)","FC-X (sc)","FS-X (sc)","FO-X (sc)","SI-X (sc)","SL-X (sc)","CU-X (sc)","KC-X (sc)","EP-X (sc)","CH-X (sc)","SC-X (sc)","KN-X (sc)","FA-Z (sc)","FT-Z (sc)","FC-Z (sc)","FS-Z (sc)","FO-Z (sc)","SI-Z (sc)","SL-Z (sc)","CU-Z (sc)","KC-Z (sc)","EP-Z (sc)","CH-Z (sc)","SC-Z (sc)","KN-Z (sc)","wFA (sc)","wFT (sc)","wFC (sc)","wFS (sc)","wFO (sc)","wSI (sc)","wSL (sc)","wCU (sc)","wKC (sc)","wEP (sc)","wCH (sc)","wSC (sc)","wKN (sc)","wFA/C (sc)","wFT/C (sc)","wFC/C (sc)","wFS/C (sc)","wFO/C (sc)","wSI/C (sc)","wSL/C (sc)","wCU/C (sc)","wKC/C (sc)","wEP/C (sc)","wCH/C (sc)","wSC/C (sc)","wKN/C (sc)","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","LD+%","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","CStr%","CSW%","xBA","xSLG","xwOBA","L-WAR","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jeff Conine","FLA","151","466","17","46","61","2","12.2%","19.1%",".163",".269",".242",".337",".405",".330","","99","0.4","-0.1","2.2","1.7","31","151","405","466","98","67","13","1","17","46","61","57","3","89","2","2","0","11","2","0",".242","","","","","","","","","","","12.2%","19.1%","0.64",".337",".405",".742",".163",".269","","","","","","","","",".330","-1.1","56","-0.6","9.0","14.4","-6.8","16.9","1.7","","2.6","99","0.49","-8.57","9.05","3.19","0.30","1.10","1.55","19","0.15","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","0.4","","31 - 31","-0.1","0.5","","","","","","","","35.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","134","116","98","95","106","89","","","","","","","","","","","","","","","","","","0","","","","","","1.7","151","466","17","46","61","2","12.2%","19.1%",".163",".269",".242",".337",".405",".330","","99","0.4","-0.1","2.2","1.7","131"
"Andruw Jones","ATL","153","467","18","60","70","20","12.0%","22.9%",".185",".267",".231",".329",".416",".329","","96","-0.7","-2.9","24.8","3.7","20","153","399","467","92","55","18","1","18","60","70","56","2","107","4","3","5","11","20","11",".231","","","","","","","","","","","12.0%","22.9%","0.52",".329",".416",".745",".185",".267","","","","","","","","",".329","-1.1","56","-2.2","27.0","14.4","-2.2","36.8","3.7","","4.8","96","0.05","-9.78","9.83","-1.15","-0.18","1.10","1.67","29","0.52","-0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8","-0.7","","20 - 20","-2.9","0.5","","","","","","","","38.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","131","139","96","98","120","88","","","","","","","","","","","","","","","","","","0","","","","","","3.7","153","467","18","60","70","20","12.0%","22.9%",".185",".267",".231",".329",".416",".329","","96","-0.7","-2.9","24.8","3.7","96"
"Ron Coomer","MIN","140","550","13","63","85","4","4.0%","16.5%",".140",".337",".298",".324",".438",".329","","92","-0.5","-6.1","-0.3","1.3","30","140","523","550","156","111","30","2","13","63","85","22","5","91","0","5","0","11","4","3",".298","","","","","","","","","","","4.0%","16.5%","0.24",".324",".438",".761",".140",".337","","","","","","","","",".329","-1.6","66","-5.7","0.0","17.0","-0.3","12.9","1.3","","3.4","92","0.32","-9.35","9.67","10.55","0.94","0.95","1.70","6","-0.19","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.3","-0.5","","30 - 30","-6.1","2.3","","","","","","","","22.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","44","100","95","102","88","112","","","","","","","","","","","","","","","","","","0","","","","","","1.3","140","550","13","63","85","4","4.0%","16.5%",".140",".337",".298",".324",".438",".329","","92","-0.5","-6.1","-0.3","1.3","816"
"Mike Lieberthal","PHI","134","510","20","59","77","3","8.6%","14.9%",".196",".251",".246",".314",".442",".328","","93","-1.1","-5.9","6.2","1.6","25","134","455","510","112","64","27","1","20","59","77","44","1","76","4","7","0","10","3","4",".246","","","","","","","","","","","8.6%","14.9%","0.58",".314",".442",".755",".196",".251","","","","","","","","",".328","-1.7","61","-4.8","-1.0","15.8","7.2","16.6","1.6","","2.7","93","-1.34","-10.11","8.77","0.33","0.05","1.05","1.62","9","-0.20","-1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2","-1.1","","25 - 25","-5.9","0.5","","","","","","","","27.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","94","91","92","104","127","83","","","","","","","","","","","","","","","","","","0","","","","","","1.6","134","510","20","59","77","3","8.6%","14.9%",".196",".251",".246",".314",".442",".328","","93","-1.1","-5.9","6.2","1.6","959"
"Jason Bates","COL","62","139","3","17","11","0","10.8%","19.4%",".157",".286",".240",".338",".397",".328","","72","-0.4","-5.4","-4.2","-0.5","26","62","121","139","29","16","10","0","3","17","11","15","1","27","3","0","0","3","0","1",".240","","","","","","","","","","","10.8%","19.4%","0.56",".338",".397",".735",".157",".286","","","","","","","","",".328","-0.5","17","-5.0","-5.0","4.3","0.8","-5.1","-0.5","","2.2","72","-0.66","-2.30","1.64","-5.08","-0.50","0.79","0.86","25","-0.36","-0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.2","-0.4","","26 - 26","-5.4","0.1","","","","","","","","32.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","118","118","99","93","102","94","","","","","","","","","","","","","","","","","","0","","","","","","-0.5","62","139","3","17","11","0","10.8%","19.4%",".157",".286",".240",".338",".397",".328","","72","-0.4","-5.4","-4.2","-0.5","1000660"
"Tony Fernandez","CLE","120","442","11","55","44","6","5.0%","10.6%",".137",".299",".286",".323",".423",".328","","93","-1.4","-5.5","11.5","2.1","35","120","409","442","117","84","21","1","11","55","44","22","0","47","2","3","6","12","6","6",".286","","","","","","","","","","","5.0%","10.6%","0.47",".323",".423",".746",".137",".299","","","","","","","","",".328","-1.6","53","-4.1","10.0","13.7","1.5","21.5","2.1","","3.6","93","-0.85","-8.38","7.53","-13.15","-1.25","1.03","1.84","5","-0.72","-0.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","-1.4","","35 - 35","-5.5","1.9","","","","","","","","18.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","55","64","95","99","87","99","","","","","","","","","","","","","","","","","","0","","","","","","2.1","120","442","11","55","44","6","5.0%","10.6%",".137",".299",".286",".323",".423",".328","","93","-1.4","-5.5","11.5","2.1","1004002"
"Midre Cummings","- - -","115","350","4","35","31","2","8.9%","16.0%",".146",".309",".264",".330",".411",".328","","92","-0.9","-4.4","5.8","1.3","25","115","314","350","83","51","22","6","4","35","31","31","0","56","1","2","2","3","2","3",".264","","","","","","","","","","","8.9%","16.0%","0.55",".330",".411",".741",".146",".309","","","","","","","","",".328","-1.3","42","-3.5","6.0","10.8","-0.2","12.6","1.3","","4.6","92","0.05","-5.69","5.74","-0.93","-0.12","0.93","0.97","39","0.00","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","-0.9","","25 - 25","-4.4","0.4","","","","","","","","26.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","97","97","97","97","95","102","","","","","","","","","","","","","","","","","","0","","","","","","1.3","115","350","4","35","31","2","8.9%","16.0%",".146",".309",".264",".330",".411",".328","","92","-0.9","-4.4","5.8","1.3","1927"
"Luis Sojo","NYY","77","239","2","27","25","3","6.7%","5.9%",".065",".318",".307",".355",".372",".328","","96","0.2","-1.0","-5.3","0.2","31","77","215","239","66","57","6","1","2","27","25","16","0","14","1","2","5","5","3","1",".307","","","","","","","","","","","6.7%","5.9%","1.14",".355",".372",".727",".065",".318","","","","","","","","",".328","-0.9","28","-1.2","-6.0","7.4","0.7","2.1","0.2","","4.0","96","-0.55","-4.24","3.69","-1.76","-0.13","1.03","2.16","3","-0.15","-0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.3","0.2","","31 - 31","-1.0","1.0","","","","","","","","13.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","74","35","104","87","41","105","","","","","","","","","","","","","","","","","","0","","","","","","0.2","77","239","2","27","25","3","6.7%","5.9%",".065",".318",".307",".355",".372",".328","","96","0.2","-1.0","-5.3","0.2","1834"
"Homer Bush","NYY","10","11","0","2","3","0","0.0%","0.0%",".000",".364",".364",".364",".364",".327","","96","0.0","-0.1","-1.1","-0.1","24","10","11","11","4","4","0","0","0","2","3","0","0","0","0","0","0","0","0","0",".364","","","","","","","","","","","0.0%","0.0%","0.00",".364",".364",".727",".000",".364","","","","","","","","",".327","0.0","1","-0.1","-1.0","0.3","-0.1","-0.7","-0.1","","2.6","96","0.04","-0.09","0.13","1.73","0.15","0.54","0.08","2","-0.07","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.1","0.0","","24 - 24","-0.1","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","0","0","107","85","0","120","","","","","","","","","","","","","","","","","","0","","","","","","-0.1","10","11","0","2","3","0","0.0%","0.0%",".000",".364",".364",".364",".364",".327","","96","0.0","-0.1","-1.1","-0.1","1425"
"Melvin Nieves","DET","116","405","20","46","64","1","9.6%","38.8%",".223",".337",".228",".311",".451",".327","","92","-2.8","-6.9","-13.9","-0.7","25","116","359","405","82","43","18","1","20","46","64","39","6","157","5","2","0","3","1","7",".228","","","","","","","","","","","9.6%","38.8%","0.25",".311",".451",".762",".223",".337","","","","","","","","",".327","-1.7","48","-4.1","-9.0","12.5","-4.9","-6.6","-0.7","","2.8","92","-0.57","-7.53","6.95","0.97","0.04","0.97","1.55","14","-0.94","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.9","-2.8","","25 - 25","-6.9","1.7","","","","","","","","53.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","106","235","91","105","141","111","","","","","","","","","","","","","","","","","","0","","","","","","-0.7","116","405","20","46","64","1","9.6%","38.8%",".223",".337",".228",".311",".451",".327","","92","-2.8","-6.9","-13.9","-0.7","1009595"
"Craig Grebeck","ANA","63","150","1","12","6","0","12.0%","7.3%",".095",".287",".270",".359",".365",".327","","94","-0.4","-1.7","-3.4","0.0","32","63","126","150","34","24","9","0","1","12","6","18","1","11","0","1","5","6","0","1",".270","","","","","","","","","","","12.0%","7.3%","1.64",".359",".365",".724",".095",".287","","","","","","","","",".327","-0.7","18","-1.2","-4.0","4.6","0.6","0.2","0.0","","1.3","94","-0.14","-2.19","2.06","-3.26","-0.31","0.91","0.93","6","-0.43","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.4","-0.4","","32 - 32","-1.7","0.6","","","","","","","","20.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","133","44","105","85","60","95","","","","","","","","","","","","","","","","","","0","","","","","","0.0","63","150","1","12","6","0","12.0%","7.3%",".095",".287",".270",".359",".365",".327","","94","-0.4","-1.7","-3.4","0.0","1004982"
"Dean Palmer","- - -","143","592","23","70","86","2","6.9%","22.6%",".188",".297",".256",".310",".445",".327","","90","-0.4","-8.1","4.2","1.7","28","143","542","592","139","84","31","1","23","70","86","41","2","134","3","5","1","7","2","2",".256","","","","","","","","","","","6.9%","22.6%","0.31",".310",".445",".754",".188",".297","","","","","","","","",".327","-2.6","70","-7.7","3.0","18.3","1.2","16.8","1.7","","2.7","90","-0.51","-12.04","11.53","-2.57","-0.17","1.11","1.38","2","-0.35","-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","-0.4","","28 - 28","-8.1","2.5","","","","","","","","33.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","77","137","91","104","119","98","","","","","","","","","","","","","","","","","","0","","","","","","1.7","143","592","23","70","86","2","6.9%","22.6%",".188",".297",".256",".310",".445",".327","","90","-0.4","-8.1","4.2","1.7","482"
"Damon Mashore","OAK","92","342","3","55","18","5","14.6%","24.0%",".082",".338",".247",".370",".330",".327","","95","-0.7","-2.9","-5.5","0.3","27","92","279","342","69","54","10","2","3","55","18","50","1","82","5","1","7","5","5","4",".247","","","","","","","","","","","14.6%","24.0%","0.61",".370",".330",".700",".082",".338","","","","","","","","",".327","-1.6","41","-2.3","-6.0","10.6","0.5","3.5","0.3","","5.1","95","0.66","-5.55","6.21","2.51","0.26","1.01","","0","0.08","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.5","-0.7","","27 - 27","-2.9","1.4","","","","","","","","39.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","162","145","109","77","52","112","","","","","","","","","","","","","","","","","","0","","","","","","0.3","92","342","3","55","18","5","14.6%","24.0%",".082",".338",".247",".370",".330",".327","","95","-0.7","-2.9","-5.5","0.3","1008211"
"Craig Shipley","SDP","63","148","5","22","19","1","4.7%","13.5%",".173",".287",".273",".306",".446",".327","","99","-0.2","-0.4","-5.3","-0.1","34","63","139","148","38","24","9","0","5","22","19","7","0","20","0","1","1","1","1","1",".273","","","","","","","","","","","4.7%","13.5%","0.35",".306",".446",".752",".173",".287","","","","","","","","",".327","-0.7","18","-0.1","-6.0","4.6","0.7","-0.9","-0.1","","3.3","99","-0.33","-3.10","2.77","-4.74","-0.55","1.06","1.15","25","-0.19","-0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.3","-0.2","","34 - 34","-0.4","0.2","","","","","","","","21.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","52","82","89","105","112","94","","","","","","","","","","","","","","","","","","0","","","","","","-0.1","63","148","5","22","19","1","4.7%","13.5%",".173",".287",".273",".306",".446",".327","","99","-0.2","-0.4","-5.3","-0.1","1011906"
"Doug Strange","MON","118","372","12","40","47","0","9.7%","20.4%",".171",".299",".257",".332",".428",".326","","93","-0.8","-4.0","5.8","1.4","33","118","327","372","84","54","16","2","12","40","47","36","9","76","2","2","5","4","0","2",".257","","","","","","","","","","","9.7%","20.4%","0.47",".332",".428",".761",".171",".299","","","","","","","","",".326","-1.8","44","-3.2","5.0","11.5","0.8","13.7","1.4","","2.8","93","-0.63","-6.55","5.91","1.76","0.11","1.01","1.37","9","-0.32","-0.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","-0.8","","33 - 33","-4.0","0.4","","","","","","","","33.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","106","124","97","101","111","98","","","","","","","","","","","","","","","","","","0","","","","","","1.4","118","372","12","40","47","0","9.7%","20.4%",".171",".299",".257",".332",".428",".326","","93","-0.8","-4.0","5.8","1.4","1012596"
"Darryl Hamilton","SFG","125","529","5","78","43","15","11.5%","11.5%",".096",".301",".270",".354",".365",".326","","97","-1.3","-3.1","-8.4","0.5","32","125","460","529","124","93","23","3","5","78","43","61","1","61","0","2","6","6","15","10",".270","","","","","","","","","","","11.5%","11.5%","1.00",".354",".365",".719",".096",".301","","","","","","","","",".326","-2.6","62","-1.8","-10.0","16.4","1.6","5.5","0.5","","5.2","97","0.11","-8.70","8.81","4.38","0.47","0.93","1.73","8","0.33","-0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.4","-1.3","","32 - 32","-3.1","0.5","","","","","","","","24.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","126","70","103","86","62","99","","","","","","","","","","","","","","","","","","0","","","","","","0.5","125","529","5","78","43","15","11.5%","11.5%",".096",".301",".270",".354",".365",".326","","97","-1.3","-3.1","-8.4","0.5","1005272"
"Domingo Cedeno","TEX","113","397","4","49","36","3","6.8%","19.4%",".118",".347",".282",".334",".400",".326","","88","-0.7","-6.7","-4.8","0.2","28","113","365","397","103","74","19","6","4","49","36","27","0","77","2","1","2","5","3","3",".282","","","","","","","","","","","6.8%","19.4%","0.35",".334",".400",".734",".118",".347","","","","","","","","",".326","-2.0","47","-6.0","-7.0","12.3","2.2","2.5","0.2","","5.1","88","-0.27","-6.42","6.15","-1.08","-0.06","0.92","1.87","16","-0.70","0.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.8","-0.7","","28 - 28","-6.7","1.7","","","","","","","","27.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","75","117","98","93","75","115","","","","","","","","","","","","","","","","","","0","","","","","","0.2","113","397","4","49","36","3","6.8%","19.4%",".118",".347",".282",".334",".400",".326","","88","-0.7","-6.7","-4.8","0.2","1002101"
"Yamil Benitez","KCR","53","204","8","22","21","2","4.9%","24.0%",".173",".321",".267",".307",".440",".326","","92","-0.4","-2.6","-3.3","0.1","24","53","191","204","51","35","7","1","8","22","21","10","0","49","1","0","2","2","2","2",".267","","","","","","","","","","","4.9%","24.0%","0.20",".307",".440",".747",".173",".321","","","","","","","","",".326","-1.0","24","-2.2","-1.0","6.3","-2.3","1.3","0.1","","3.5","92","-0.19","-3.65","3.46","-4.68","-0.48","0.97","1.79","1","0.09","-0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.3","-0.4","","24 - 24","-2.6","0.9","","","","","","","","32.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","54","145","90","103","109","106","","","","","","","","","","","","","","","","","","0","","","","","","0.1","53","204","8","22","21","2","4.9%","24.0%",".173",".321",".267",".307",".440",".326","","92","-0.4","-2.6","-3.3","0.1","1000834"
"Mark Lewis","SFG","118","372","10","50","42","3","6.2%","16.7%",".164",".298",".267",".318",".431",".326","","97","-0.2","-1.7","-12.3","-0.2","27","118","341","372","91","61","14","6","10","50","42","23","2","62","4","3","1","8","3","2",".267","","","","","","","","","","","6.2%","16.7%","0.37",".318",".431",".749",".164",".298","","","","","","","","",".326","-2.1","44","-1.5","-13.0","11.5","0.7","-2.1","-0.2","","5.8","97","1.11","-6.38","7.49","0.41","0.05","0.97","1.04","24","0.17","0.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-12.3","-0.2","","27 - 27","-1.7","0.4","","","","","","","","25.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","68","101","93","102","107","98","","","","","","","","","","","","","","","","","","0","","","","","","-0.2","118","372","10","50","42","3","6.2%","16.7%",".164",".298",".267",".318",".431",".326","","97","-0.2","-1.7","-12.3","-0.2","1007585"
