Season,Team,Team_GP,Team_WL
2003,STL,162,0.525
1991,STL,162,0.519
1984,STL,162,0.519
2017,STL,162,0.512
2006,STL,161,0.516
1998,STL,163,0.512
1992,STL,162,0.512
1986,STL,161,0.491
1983,STL,162,0.488
2007,STL,162,0.481
1988,STL,162,0.469
1999,STL,161,0.466
1980,STL,162,0.457
1997,STL,162,0.451
1990,STL,162,0.432
1995,STL,143,0.434
1981,STL,103,0.578
1994,STL,115,0.465
2020,STL,58,0.517
2004,TBR,161,0.435
2000,TBR,161,0.429
1999,TBR,162,0.426
2005,TBR,162,0.414
2007,TBR,162,0.407
2003,TBR,162,0.389
1998,TBR,162,0.389
2001,TBR,162,0.383
2006,TBR,162,0.377
2002,TBR,161,0.342
2021,TBR,162,0.617
2008,TBR,162,0.599
2019,TBR,162,0.593
2010,TBR,162,0.593
2013,TBR,163,0.564
2011,TBR,162,0.562
2018,TBR,162,0.556
2012,TBR,162,0.556
2022,TBR,162,0.531
2009,TBR,162,0.519
2017,TBR,162,0.494
2015,TBR,162,0.494
2014,TBR,162,0.475
2016,TBR,162,0.42
2020,TBR,60,0.667
2011,TEX,162,0.593
2016,TEX,162,0.586
1999,TEX,162,0.586
2012,TEX,162,0.574
2013,TEX,163,0.558
2010,TEX,162,0.556
1996,TEX,163,0.556
2004,TEX,162,0.549
2015,TEX,162,0.543
1998,TEX,162,0.543
2009,TEX,162,0.537
1986,TEX,162,0.537
1993,TEX,162,0.531
1991,TEX,162,0.525
1990,TEX,162,0.512
1989,TEX,162,0.512
2006,TEX,162,0.494
2008,TEX,162,0.488
2005,TEX,162,0.488
2019,TEX,162,0.481
2017,TEX,162,0.481
1997,TEX,162,0.475
1992,TEX,162,0.475
1983,TEX,163,0.475
1980,TEX,163,0.472
2007,TEX,162,0.463
1987,TEX,162,0.463
1995,TEX,144,0.514
2001,TEX,162,0.451
2002,TEX,162,0.444
2003,TEX,162,0.438
2000,TEX,162,0.438
1988,TEX,161,0.435
1984,TEX,161,0.429
2022,TEX,162,0.42
2018,TEX,162,0.414
2014,TEX,162,0.414
1982,TEX,162,0.395
1985,TEX,161,0.385
2021,TEX,162,0.37
1981,TEX,105,0.543
1994,TEX,114,0.456
2020,TEX,60,0.367
1985,TOR,161,0.615
1992,TOR,162,0.593
1987,TOR,162,0.593
1993,TOR,162,0.586
2015,TOR,162,0.574
2022,TOR,162,0.568
2021,TOR,162,0.562
1991,TOR,162,0.562
2016,TOR,162,0.549
1989,TOR,162,0.549
1984,TOR,163,0.549
1983,TOR,162,0.549
1998,TOR,163,0.543
2006,TOR,162,0.537
1988,TOR,162,0.537
2008,TOR,162,0.531
2003,TOR,162,0.531
1990,TOR,162,0.531
1986,TOR,163,0.531
2010,TOR,162,0.525
1999,TOR,162,0.519
2014,TOR,162,0.512
2007,TOR,162,0.512
2000,TOR,162,0.512
2011,TOR,162,0.5
2005,TOR,162,0.494
2001,TOR,162,0.494
2002,TOR,162,0.481
1982,TOR,162,0.481
2017,TOR,162,0.469
1997,TOR,162,0.469
2009,TOR,162,0.463
2013,TOR,162,0.457
1996,TOR,162,0.457
2018,TOR,162,0.451
2012,TOR,162,0.451
2019,TOR,162,0.414
2004,TOR,161,0.416
1980,TOR,162,0.414
1995,TOR,144,0.389
1994,TOR,115,0.478
1981,TOR,106,0.349
2020,TOR,60,0.533
2012,WSN,162,0.605
2017,WSN,162,0.599
2014,WSN,162,0.593
2016,WSN,162,0.586
2019,WSN,162,0.574
2013,WSN,162,0.531
2015,WSN,162,0.512
2018,WSN,162,0.506
2005,WSN,162,0.5
2011,WSN,161,0.497
2007,WSN,162,0.451
2006,WSN,162,0.438
2010,WSN,162,0.426
2021,WSN,162,0.401
2009,WSN,162,0.364
2008,WSN,161,0.366
2022,WSN,162,0.34
2020,WSN,60,0.433
