Season,Team,Team_GP,Team_WL
2011,CHW,162,0.488
2009,CHW,162,0.488
2016,CHW,162,0.481
1987,CHW,162,0.475
2015,CHW,162,0.469
1999,CHW,162,0.466
1984,CHW,162,0.457
2014,CHW,162,0.451
2019,CHW,161,0.447
2007,CHW,162,0.444
1986,CHW,162,0.444
1988,CHW,161,0.441
1980,CHW,162,0.438
1989,CHW,161,0.429
1995,CHW,145,0.472
2017,CHW,162,0.414
1994,CHW,113,0.593
2013,CHW,162,0.389
2018,CHW,162,0.383
1981,CHW,106,0.509
2020,CHW,60,0.583
2012,CIN,162,0.599
1999,CIN,163,0.589
2010,CIN,162,0.562
1990,CIN,162,0.562
2013,CIN,162,0.556
1992,CIN,162,0.556
1985,CIN,162,0.553
1980,CIN,163,0.549
1988,CIN,161,0.54
1986,CIN,162,0.531
2000,CIN,163,0.525
1995,CIN,144,0.59
1987,CIN,162,0.519
2021,CIN,162,0.512
1996,CIN,162,0.5
2006,CIN,162,0.494
2011,CIN,162,0.488
2009,CIN,162,0.481
2002,CIN,162,0.481
1998,CIN,162,0.475
2014,CIN,162,0.469
2004,CIN,162,0.469
1997,CIN,162,0.469
2019,CIN,162,0.463
1989,CIN,162,0.463
2008,CIN,162,0.457
1991,CIN,162,0.457
1983,CIN,162,0.457
2005,CIN,163,0.451
1993,CIN,162,0.451
2007,CIN,162,0.444
1984,CIN,162,0.432
2003,CIN,162,0.426
2017,CIN,162,0.42
2016,CIN,162,0.42
2018,CIN,162,0.414
2001,CIN,162,0.407
1994,CIN,115,0.579
1981,CIN,108,0.611
2015,CIN,162,0.395
2022,CIN,162,0.383
1982,CIN,162,0.377
2020,CIN,60,0.517
2017,CLE,162,0.63
1995,CLE,144,0.694
1996,CLE,161,0.615
1999,CLE,162,0.599
2007,CLE,162,0.593
2016,CLE,161,0.584
2019,CLE,162,0.574
2005,CLE,162,0.574
2022,CLE,162,0.568
2013,CLE,162,0.568
2018,CLE,162,0.562
2001,CLE,162,0.562
2000,CLE,162,0.556
1998,CLE,162,0.549
1997,CLE,161,0.534
2014,CLE,162,0.525
1986,CLE,163,0.519
2015,CLE,161,0.503
2008,CLE,162,0.5
2021,CLE,162,0.494
2011,CLE,162,0.494
2004,CLE,162,0.494
1980,CLE,160,0.494
2006,CLE,162,0.481
1988,CLE,162,0.481
1982,CLE,162,0.481
1990,CLE,162,0.475
1993,CLE,162,0.469
1992,CLE,162,0.469
1984,CLE,163,0.463
2002,CLE,162,0.457
1989,CLE,162,0.451
1983,CLE,162,0.432
2010,CLE,162,0.426
2012,CLE,162,0.42
2003,CLE,162,0.42
1994,CLE,113,0.584
2009,CLE,162,0.401
1987,CLE,162,0.377
1985,CLE,162,0.37
1991,CLE,162,0.352
1981,CLE,103,0.505
2020,CLE,60,0.583
2009,COL,162,0.568
2018,COL,163,0.558
2007,COL,163,0.552
2017,COL,162,0.537
2010,COL,162,0.512
1997,COL,162,0.512
1996,COL,162,0.512
2000,COL,162,0.506
1998,COL,162,0.475
1995,COL,144,0.535
2006,COL,162,0.469
2016,COL,162,0.463
2021,COL,161,0.46
2013,COL,162,0.457
2008,COL,162,0.457
2003,COL,162,0.457
2011,COL,162,0.451
2002,COL,162,0.451
2001,COL,162,0.451
1999,COL,162,0.444
2019,COL,162,0.438
2022,COL,162,0.42
2015,COL,162,0.42
2004,COL,162,0.42
1993,COL,162,0.414
2014,COL,162,0.407
2012,COL,162,0.395
1994,COL,117,0.453
2020,COL,60,0.433
1984,DET,162,0.642
1987,DET,162,0.605
2011,DET,162,0.586
2006,DET,162,0.586
2013,DET,162,0.574
1983,DET,162,0.568
2014,DET,162,0.556
2012,DET,162,0.543
2007,DET,162,0.543
1988,DET,162,0.543
1986,DET,162,0.537
