"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (sc)","FT% (sc)","FC% (sc)","FS% (sc)","FO% (sc)","SI% (sc)","SL% (sc)","CU% (sc)","KC% (sc)","EP% (sc)","CH% (sc)","SC% (sc)","KN% (sc)","UN% (sc)","vFA (sc)","vFT (sc)","vFC (sc)","vFS (sc)","vFO (sc)","vSI (sc)","vSL (sc)","vCU (sc)","vKC (sc)","vEP (sc)","vCH (sc)","vSC (sc)","vKN (sc)","FA-X (sc)","FT-X (sc)","FC-X (sc)","FS-X (sc)","FO-X (sc)","SI-X (sc)","SL-X (sc)","CU-X (sc)","KC-X (sc)","EP-X (sc)","CH-X (sc)","SC-X (sc)","KN-X (sc)","FA-Z (sc)","FT-Z (sc)","FC-Z (sc)","FS-Z (sc)","FO-Z (sc)","SI-Z (sc)","SL-Z (sc)","CU-Z (sc)","KC-Z (sc)","EP-Z (sc)","CH-Z (sc)","SC-Z (sc)","KN-Z (sc)","wFA (sc)","wFT (sc)","wFC (sc)","wFS (sc)","wFO (sc)","wSI (sc)","wSL (sc)","wCU (sc)","wKC (sc)","wEP (sc)","wCH (sc)","wSC (sc)","wKN (sc)","wFA/C (sc)","wFT/C (sc)","wFC/C (sc)","wFS/C (sc)","wFO/C (sc)","wSI/C (sc)","wSL/C (sc)","wCU/C (sc)","wKC/C (sc)","wEP/C (sc)","wCH/C (sc)","wSC/C (sc)","wKN/C (sc)","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","CStr%","CSW%","xERA","playerid"
"John Cangelosi","PIT","0","0","0","1","0","2.0","0.00","0.00","0.00",".143","100.0%","","","","0.00","","2.77","","0.0","25","0","0","0.00","1","0","0","0","0","","2.0","7","1","0","0","0","0","0","0","1","0","0","","","","","","","","","","","","0.00","0.00","0.00","4.50","0.00",".143","0.50",".143","100.0%","2.77","","","","","","","","","","","0.1","2.0","0.1","0.0","","","","0.00","0.00","0.00","0.86","0.10","0.00","0.00","0.00","","0","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","78","","0.0%","0.0%","","","-2.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.0","0.0","25 - 25","0.0%","","","","","","","4.51","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","54","0","59","40","52","138","0","0","","","","","","","","","","","","","","","","","","0","","","","1001913"
"Dave Concepcion","CIN","0","0","0","1","0","1.1","6.75","0.00","0.00",".400","100.0%","","","","0.00","","1.27","","0.0","40","0","0","0.00","1","0","0","0","0","","1.1","6","2","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","6.75","0.00","1.00","13.50","0.00",".333","1.50",".400","100.0%","1.27","","","","","","","","","","","0.2","1.1","0.2","0.0","","","","0.00","0.00","0.00","0.83","0.09","0.00","0.00","0.00","","0","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","34","","16.7%","0.0%","","","-1.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","-0.1","0.1","0.0","40 - 40","16.7%","","","","","","","2.51","16.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","0","","161","0","137","119","146","138","111","0","","","","","","","","","","","","","","","","","","0","","","","1002494"
"Dan Gladden","MIN","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","","","","0.00","","2.77","","0.0","30","0","0","0.00","1","0","0","0","0","","1.0","3","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.00",".000","0.00",".000","100.0%","2.77","","","","","","","","","","","0.1","1.0","0.1","0.0","","","","0.00","0.00","0.00","0.48","0.05","0.00","0.00","0.00","","0","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","71","","0.0%","0.0%","","","-2.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.1","0.0","0.0","30 - 30","0.0%","","","","","","","4.51","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","0","","","","1004750"
"Jeff Kaiser","CLE","0","0","0","3","0","2.2","0.00","3.37","0.00",".200","100.0%","","","","0.00","","3.89","","0.0","27","0","0","0.00","3","0","0","0","0","","2.2","11","2","0","0","0","1","0","0","0","0","0","","","","","","","","","","","","0.00","3.37","0.00","6.75","0.00",".200","1.12",".200","100.0%","3.89","","","","","","","","","","","0.1","2.2","0.1","0.0","","","","0.03","-0.19","0.22","-0.44","-0.06","1.43","1.64","1.35","2.92","2","-0.01","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","99","","0.0%","9.1%","","","-3.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.1","0.1","0.2","27 - 27","-9.1%","","","","","","","5.61","9.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","105","0","76","0","79","84","71","140","0","109","","","","","","","","","","","","","","","","","","0","","","","1006674"
"Jeff Kunkel","TEX","0","0","0","1","0","1.0","9.00","0.00","0.00",".000","100.0%","","","","0.00","","0.77","","0.0","26","0","0","0.00","1","0","0","0","0","","1.0","3","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","9.00","0.00","1.00","0.00","0.00",".000","0.00",".000","100.0%","0.77","","","","","","","","","","","0.2","1.0","0.2","0.0","","","","0.00","0.00","0.00","0.49","0.05","0.00","0.00","0.00","","0","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","21","","33.3%","0.0%","","","-0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","26 - 26","33.3%","","","","","","","0.51","33.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","0","","0","0","0","0","0","","233","0","","","","","","","","","","","","","","","","","","0","","","","1007211"
"Morris Madden","PIT","0","0","0","5","0","5.2","4.76","11.12","0.00",".333","100.0%","","","","0.00","","5.42","","-0.1","27","0","0","0.00","5","0","0","0","0","","5.2","25","5","0","0","0","7","1","0","1","0","3","","","","","","","","","","","","4.76","11.12","0.43","7.94","0.00",".278","2.12",".333","100.0%","5.42","","","","","","","","","","","-1.1","5.2","-1.1","-0.1","","","","-0.20","-0.47","0.27","0.49","0.06","0.59","0.83","1.08","0.79","4","0.01","-0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","153","","12.0%","28.0%","","","-5.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","-0.1","0.5","0.4","27 - 27","-16.0%","","","","","","","6.43","40.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","373","23","95","0","115","168","122","138","80","354","","","","","","","","","","","","","","","","","","0","","","","1007945"
"John Mitchell","NYM","0","0","0","1","0","1.0","9.00","9.00","0.00",".667","100.0%","","","","0.00","","3.77","","0.0","22","0","0","0.00","1","0","0","0","0","","1.0","5","2","0","0","0","1","0","0","0","0","1","","","","","","","","","","","","9.00","9.00","1.00","18.00","0.00",".500","3.00",".667","100.0%","3.77","","","","","","","","","","","0.0","1.0","0.0","0.0","","","","-0.04","-0.11","0.07","-0.53","-0.06","0.93","0.77","0.95","2.04","1","-0.08","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","110","","20.0%","20.0%","","","-3.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","-0.1","0.2","0.1","22 - 22","0.0%","","","","","","","4.51","40.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158","302","53","215","0","206","238","244","138","133","253","","","","","","","","","","","","","","","","","","0","","","","1009003"
"Rich Monteleone","CAL","0","0","0","3","0","4.1","6.23","2.08","0.00",".267","100.0%","","","","0.00","","2.77","","0.1","25","0","0","0.00","3","0","0","0","0","","4.1","20","4","0","0","0","1","1","1","0","1","3","","","","","","","","","","","","6.23","2.08","3.00","8.31","0.00",".222","1.15",".267","100.0%","2.77","","","","","","","","","","","0.9","4.1","0.9","0.1","","","","-0.37","-0.50","0.12","-0.09","-0.01","0.48","0.98","1.72","0.48","1","-0.09","-0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","70","","15.0%","5.0%","","","-2.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.0","0.2","0.2","25 - 25","10.0%","","","","","","","3.31","20.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","65","175","93","0","87","86","95","140","105","60","","","","","","","","","","","","","","","","","","0","","","","1009068"
"Brad Moore","PHI","0","0","0","5","0","5.2","3.18","6.35","0.00",".267","100.0%","","","","0.00","","4.18","","0.0","24","0","0","0.00","5","0","0","0","0","","5.2","21","4","0","0","0","4","1","0","0","0","2","","","","","","","","","","","","3.18","6.35","0.50","6.35","0.00",".235","1.41",".267","100.0%","4.18","","","","","","","","","","","-0.2","5.2","-0.2","0.0","","","","0.07","-0.02","0.10","3.51","0.39","0.20","0.34","0.44","0.35","3","0.14","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","119","","9.5%","19.0%","","","-4.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.0","0.2","0.2","24 - 24","-9.5%","","","","","","","5.66","28.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","213","26","76","0","97","112","97","138","63","241","","","","","","","","","","","","","","","","","","0","","","","1009096"
"Jim Morrison","ATL","0","0","0","3","0","3.2","2.45","4.91","0.00",".231","100.0%","","","","0.00","","3.86","","0.0","35","0","0","0.00","3","0","0","0","0","","3.2","16","3","0","0","0","2","0","0","0","0","1","","","","","","","","","","","","2.45","4.91","0.50","7.36","0.00",".214","1.36",".231","100.0%","3.86","","","","","","","","","","","0.0","3.2","0.0","0.0","","","","0.00","0.00","0.00","2.00","0.22","0.01","0.01","0.01","","0","-0.03","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","106","","6.3%","12.5%","","","-3.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.0","0.1","35 - 35","-6.3%","","","","","","","5.26","18.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","165","26","88","0","88","108","84","138","42","158","","","","","","","","","","","","","","","","","","0","","","","1009212"
