Season,Name,Team,Age,playerid,Pos_Cat
1986,Cliff Johnson,TOR,38,1006437,DH
2016,Victor Martinez,DET,37,393,DH
1983,Mickey Hatcher,MIN,28,1005488,DH
2010,Russell Branyan,- - -,34,370,DH
1980,Brian Downing,CAL,29,1003451,DH
2011,Josh Willingham,OAK,32,2103,DH
1984,Jerry Hairston,CHW,32,1005210,DH
1982,Lou Piniella,NYY,38,1010356,DH
2020,Andy Young,ARI,26,19521,DH
1986,Gary Roenicke,NYY,31,1011120,DH
1990,Mickey Tettleton,BAL,29,1012939,DH
2022,Luis Arraez,MIN,25,18568,DH
2005,Matthew LeCroy,MIN,29,1456,DH
1995,Reggie Jefferson,BOS,26,1006381,DH
1986,Larry Sheets,BAL,26,1011852,DH
2002,David Justice,OAK,36,923,DH
1997,Shawn Green,TOR,24,651,DH
2003,Erubiel Durazo,OAK,28,1413,DH
1992,Kevin Mitchell,SEA,30,1009004,DH
2007,Jon Knott,BAL,28,3942,DH
2008,Hideki Matsui,NYY,34,1659,DH
2011,Shelley Duncan,CLE,31,3620,DH
1984,Jorge Orta,KCR,33,1009853,DH
2016,Pedro Alvarez,BAL,29,2495,DH
1985,Rick Miller,BOS,37,1008928,DH
2016,Khris Davis,OAK,28,9112,DH
2022,Daniel Vogelbach,- - -,29,14130,DH
1999,Derrick May,BAL,30,1008293,DH
2007,Jason Giambi,NYY,36,818,DH
2008,Cliff Floyd,TBR,35,518,DH
2020,Brad Miller,STL,30,12775,DH
1992,Cecil Fielder,DET,28,1004026,DH
1990,Chris James,CLE,27,1006347,DH
1989,Brian Downing,CAL,38,1003451,DH
1985,Jim Wilson,CLE,24,1014090,DH
2020,Wilmer Flores,SFG,28,5827,DH
2020,Jesus Aguilar,MIA,30,11342,DH
2002,Jacob Cruz,DET,29,463,DH
2022,Alejandro Kirk,TOR,23,22581,DH
2003,Travis Hafner,CLE,26,1573,DH
2008,Jason Kubel,MIN,26,2161,DH
2004,Bernie Williams,NYY,35,857,DH
1986,Don Baylor,BOS,37,1000700,DH
1997,Frank Catalanotto,DET,23,1241,DH
2018,C.J. Cron,TBR,28,12546,DH
2009,Jeff Larish,DET,26,5128,DH
2004,Dmitri Young,DET,30,505,DH
2020,Renato Nunez,BAL,26,14503,DH
1997,Dave Nilsson,MIL,27,1009601,DH
1996,Lyle Mouton,CHW,27,1009269,DH
1988,Dave Bergman,DET,35,1000879,DH
1999,Alex Ramirez,CLE,24,1010668,DH
2007,Kendrys Morales,LAA,24,8610,DH
2018,Edwin Encarnacion,CLE,35,2151,DH
2021,Nelson Cruz,- - -,40,2434,DH
2012,Adam Dunn,CHW,32,319,DH
1981,Reggie Jackson,NYY,35,1006308,DH
2018,Yandy Diaz,CLE,26,16578,DH
1998,Shane Mack,- - -,34,1007928,DH
1987,Larry Parrish,TEX,33,1010020,DH
2006,Ben Broussard,- - -,29,312,DH
1983,Roy Howell,MIL,29,1006104,DH
1983,John Wockenfuss,DET,34,1014176,DH
2004,Jason Kubel,MIN,22,2161,DH
1997,Patrick Lennon,OAK,29,1007527,DH
2014,Chris Carter,HOU,27,9911,DH
1986,Roy Smalley,MIN,33,1012078,DH
2013,John Jaso,OAK,29,5887,DH
2005,Carlos Pena,DET,27,934,DH
2013,Billy Butler,KCR,27,7399,DH
2016,Evan Gattis,HOU,29,11003,DH
2013,Steve Pearce,BAL,30,9957,DH
2022,Michael Brantley,HOU,35,4106,DH
1982,Kevin Bell,OAK,26,1000814,DH
2007,Jose Vidro,SEA,32,802,DH
2014,Delmon Young,BAL,28,2140,DH
2005,Raul Ibanez,SEA,33,607,DH
1980,Bobby Murcer,NYY,34,1009338,DH
2021,Jake Burger,CHW,25,22275,DH
1985,Gorman Thomas,SEA,34,1012979,DH
1987,Rick Leach,TOR,30,1007426,DH
2006,Jay Gibbons,BAL,29,141,DH
1998,Jerome Walton,TBD,32,1013593,DH
1988,Juan Beniquez,TOR,38,1000833,DH
1985,Dave Engle,MIN,28,1003781,DH
1986,Jim Traber,BAL,24,1013150,DH
1995,Paul Molitor,TOR,38,1009040,DH
2009,Vladimir Guerrero,LAA,34,778,DH
1990,Kevin Reimer,TEX,26,1010807,DH
1985,Ruppert Jones,CAL,30,1006588,DH
1989,Greg Vaughn,MIL,23,1233,DH
2011,Edwin Encarnacion,TOR,28,2151,DH
2000,Scott Spiezio,ANA,27,37,DH
1996,Mike Sweeney,KCR,22,634,DH
2022,J.D. Martinez,BOS,34,6184,DH
1981,Terry Crowley,BAL,34,1002829,DH
1984,Joe Nolan,BAL,33,1009617,DH
2003,Ellis Burks,CLE,38,372,DH
2022,Justin Turner,LAD,37,5235,DH
1992,Glenn Davis,BAL,31,1003052,DH
2022,Darick Hall,PHI,26,19717,DH
2016,Mike Napoli,CLE,34,3057,DH
2006,Josh Rabe,MIN,27,3007,DH
2007,Billy Butler,KCR,21,7399,DH
2009,Jack Cust,OAK,30,1564,DH
2009,David Ortiz,BOS,33,745,DH
1997,Jose Canseco,OAK,32,1001918,DH
1986,Harry Spilman,- - -,31,1012343,DH
2020,Pete Alonso,NYM,25,19251,DH
2012,Alex Rodriguez,NYY,36,1274,DH
1990,Chili Davis,CAL,30,1003041,DH
2013,Alex Rodriguez,NYY,37,1274,DH
1984,Oscar Gamble,NYY,34,1004473,DH
2022,Kerry Carpenter,DET,24,25961,DH
1985,Roy Smalley,MIN,32,1012078,DH
2013,Kendrys Morales,SEA,30,8610,DH
1980,Dan Ford,CAL,28,1004216,DH
1985,Rufino Linares,CAL,34,1007610,DH
2012,Travis Hafner,CLE,35,1573,DH
2017,Pedro Alvarez,BAL,30,2495,DH
2001,Shawn Wooten,ANA,28,43,DH
1997,Cecil Fielder,NYY,33,1004026,DH
1986,Rick Burleson,CAL,35,1001696,DH
2008,Jorge Posada,NYY,36,841,DH
1981,Don Baylor,CAL,32,1000700,DH
1983,Greg Walker,CHW,23,1013520,DH
1989,Dana Williams,BOS,26,1013987,DH
2017,Corey Dickerson,TBR,28,10762,DH
1991,Glenn Davis,BAL,30,1003052,DH
2020,Franmil Reyes,CLE,24,14566,DH
1987,Bill Madlock,- - -,36,1007957,DH
2020,Colin Moran,PIT,27,16909,DH
1982,Terry Crowley,BAL,35,1002829,DH
1993,Edgar Martinez,SEA,30,1086,DH
1990,Dave Parker,MIL,39,1010000,DH
2007,Jason Kubel,MIN,25,2161,DH
2014,Albert Pujols,LAA,34,1177,DH
1983,Carl Yastrzemski,BOS,43,1014326,DH
2004,Rondell White,DET,32,856,DH
1997,Paul Molitor,MIN,40,1009040,DH
2008,Chris Carter,BOS,25,7707,DH
1988,Gene Larkin,MIN,25,1007347,DH
1988,Jim Dwyer,- - -,38,1003608,DH
2013,Victor Martinez,DET,34,393,DH
1984,Hal McRae,KCR,38,1008687,DH
1985,Randy Bush,MIN,26,1001756,DH
2012,Jim Thome,- - -,41,409,DH
2014,John Jaso,OAK,30,5887,DH
2002,Howie Clark,BAL,28,1533,DH
2005,Dmitri Young,DET,31,505,DH
1993,Kirk Gibson,DET,36,1004669,DH
2017,Shin-Soo Choo,TEX,34,3174,DH
2016,Kendrys Morales,KCR,33,8610,DH
1981,Al Oliver,TEX,34,1009773,DH
2012,Kendrys Morales,LAA,29,8610,DH
1981,Lou Piniella,NYY,37,1010356,DH
2007,Aubrey Huff,BAL,30,1213,DH
1985,Larry Sheets,BAL,25,1011852,DH
1993,Dave Winfield,MIN,41,1014127,DH
2000,Shane Spencer,NYY,28,848,DH
1987,Jerry Hairston,CHW,35,1005210,DH
2000,Mike Stanley,- - -,37,1012416,DH
1982,Tony Perez,BOS,40,1010188,DH
2019,Franmil Reyes,- - -,23,14566,DH
2010,Dan Johnson,TBR,30,2167,DH
1987,Roy Smalley,MIN,34,1012078,DH
2007,Jonny Gomes,TBD,26,1845,DH
2020,Vladimir Guerrero Jr.,TOR,21,19611,DH
1990,Dave Bergman,DET,37,1000879,DH
2022,Edwin Rios,LAD,28,18316,DH
2010,Johnny Damon,DET,36,185,DH
1987,Don Baylor,- - -,38,1000700,DH
2009,Andruw Jones,TEX,32,96,DH
1987,Ron Cey,OAK,39,1002108,DH
1981,Von Hayes,CLE,22,1005531,DH
1997,Rich Butler,TOR,24,1001782,DH
2010,Mike Sweeney,- - -,36,634,DH
2013,Chris Carter,HOU,26,9911,DH
2001,Dante Bichette,BOS,37,1000946,DH
2009,Mike Sweeney,SEA,35,634,DH
2001,Randall Simon,DET,26,497,DH
1996,Juan Samuel,TOR,35,1011400,DH
2022,Francisco Alvarez,NYM,20,26121,DH
1984,Steve Henderson,SEA,31,1005636,DH
1999,Reggie Jefferson,BOS,30,1006381,DH
1980,Pat Kelly,BAL,35,1006810,DH
1995,Joe Vitiello,KCR,25,1748,DH
2020,Willson Contreras,CHC,28,11609,DH
2001,Andres Galarraga,- - -,40,1390,DH
1992,Harvey Pulliam,KCR,24,1010567,DH
1994,Candy Maldonado,CLE,33,1008015,DH
2006,Mike Sweeney,KCR,32,634,DH
2010,Nick Johnson,NYY,31,828,DH
2006,Jerry Owens,CHW,25,6002,DH
2005,Javy Lopez,BAL,34,103,DH
1985,Don Baylor,NYY,36,1000700,DH
2020,Chance Sisco,BAL,25,15694,DH
2004,Jose Offerman,MIN,35,205,DH
1998,Keith Mitchell,BOS,28,1009005,DH
2021,Ryan Mountcastle,BAL,24,18373,DH
2011,Jason Kubel,MIN,29,2161,DH
1982,Mike Laga,DET,22,1007253,DH
1993,Chili Davis,CAL,33,1003041,DH
1985,Ron Kittle,CHW,27,1006982,DH
2014,David DeJesus,TBR,34,1825,DH
1993,Jeffrey Hammonds,BAL,22,687,DH
1986,Jerry Hairston,CHW,34,1005210,DH
2009,Jose Morales,MIN,26,3726,DH
1980,Lynn Jones,DET,27,1006573,DH
1985,Cliff Johnson,- - -,37,1006437,DH
1988,Harold Baines,CHW,29,1000434,DH
2014,Steven Moya,DET,22,11854,DH
1990,Dwight Evans,BOS,38,1003865,DH
2000,Butch Huskey,- - -,28,1006228,DH
2014,Kennys Vargas,MIN,23,12101,DH
2022,Keston Hiura,MIL,25,20003,DH
2012,Adam Moore,KCR,28,9362,DH
2016,Miguel Sano,MIN,23,12164,DH
1995,Ruben Sierra,- - -,29,1099,DH
1982,Don Baylor,CAL,33,1000700,DH
1991,Glenallen Hill,- - -,26,1005820,DH
1999,Robert Fick,DET,25,466,DH
1987,Orestes Destrade,NYY,25,1003233,DH
2014,Adam Dunn,- - -,34,319,DH
2009,Marcus Thames,DET,32,1523,DH
2022,J.D. Davis,- - -,29,16219,DH
2001,David Ortiz,MIN,25,745,DH
2007,Johnny Damon,NYY,33,185,DH
1985,Johnny Grubb,DET,36,1005103,DH
2002,Shawn Wooten,ANA,29,43,DH
2015,Albert Pujols,LAA,35,1177,DH
1986,Rick Leach,TOR,29,1007426,DH
1980,Bob Molinaro,CHW,30,1009039,DH
2018,Robbie Grossman,MIN,28,5254,DH
2001,Jay Gibbons,BAL,24,141,DH
1999,Jeremy Giambi,KCR,24,913,DH
2002,Dmitri Young,DET,28,505,DH
2019,Daniel Vogelbach,SEA,26,14130,DH
2005,Juan Rivera,LAA,26,843,DH
1980,Mitchell Page,OAK,28,1009954,DH
2014,Josh Willingham,- - -,35,2103,DH
2009,Carlos Guillen,DET,33,1079,DH
1982,Ken Singleton,BAL,35,1012011,DH
2007,Sammy Sosa,TEX,38,302,DH
2006,Fernando Tatis,BAL,31,798,DH
2012,Ryan Doumit,MIN,31,2113,DH
2003,B.J. Surhoff,BAL,38,117,DH
1998,Frank Catalanotto,DET,24,1241,DH
2020,Jorge Soler,KCR,28,14221,DH
1996,Lou Frazier,TEX,31,1004310,DH
2002,Randall Simon,DET,27,497,DH
1991,Bo Jackson,CHW,28,1006290,DH
1990,Gene Larkin,MIN,27,1007347,DH
1997,Julio Franco,- - -,38,87,DH
2019,Danny Mendick,CHW,25,18889,DH
2002,Nick Johnson,NYY,23,828,DH
2013,Adam Dunn,CHW,33,319,DH
1984,Darrell Evans,DET,37,1003864,DH
1988,Eric Bullock,MIN,28,1001647,DH
2004,Ken Harvey,KCR,26,604,DH
1998,Jeremy Giambi,KCR,23,913,DH
1986,Carmen Castillo,CLE,28,1002059,DH
2016,Albert Pujols,LAA,36,1177,DH
1988,Jim Rice,BOS,35,1010897,DH
2020,Ryan McBroom,KCR,28,16524,DH
2005,Eric Hinske,TOR,27,1305,DH
2008,Frank Catalanotto,TEX,34,1241,DH
1989,Steve Balboni,NYY,32,1000473,DH
1981,John Wockenfuss,DET,32,1014176,DH
2022,Garrett Cooper,MIA,31,15279,DH
1980,Wayne Nordhagen,CHW,31,1009626,DH
2012,Justin Morneau,MIN,31,1737,DH
1983,Ken Phelps,SEA,28,1010277,DH
2006,Eduardo Perez,- - -,36,1409,DH
2002,Marty Cordova,BAL,32,132,DH
1980,Lamar Johnson,CHW,29,1006481,DH
2006,Phil Nevin,- - -,35,1049,DH
1996,Joe Vitiello,KCR,26,1748,DH
1981,Hal McRae,KCR,35,1008687,DH
2013,Albert Pujols,LAA,33,1177,DH
2018,Kendrys Morales,TOR,35,8610,DH
1982,Lee Mazzilli,- - -,27,1008318,DH
2017,Robbie Grossman,MIN,27,5254,DH
2022,Jared Young,CHC,26,20404,DH
2001,Greg Vaughn,TBD,35,1233,DH
1987,Carmen Castillo,CLE,29,1002059,DH
1991,Kevin Maas,NYY,26,1007895,DH
2003,Ben Grieve,TBD,27,1209,DH
2001,Chad Allen,MIN,26,122,DH
2018,Daniel Palka,CHW,26,14897,DH
1988,Darrell Evans,DET,41,1003864,DH
2000,Brian Daubach,BOS,28,186,DH
1998,Wade Boggs,TBD,40,1001124,DH
2008,Frank Thomas,- - -,40,255,DH
2018,Mark Trumbo,BAL,32,6876,DH
1990,Randy Bush,MIN,31,1001756,DH
1982,Randy Johnson,MIN,23,1006494,DH
2001,Jay Buhner,SEA,36,1001638,DH
1980,Garry Hancock,BOS,26,1005294,DH
2019,Nathaniel Lowe,TBR,23,19566,DH
1985,Ted Simmons,MIL,35,1011986,DH
1989,Gene Larkin,MIN,26,1007347,DH
2002,Rusty Greer,TEX,33,1252,DH
1985,Mike Easler,BOS,34,1003635,DH
1994,Dave Nilsson,MIL,24,1009601,DH
2009,Jason Giambi,- - -,38,818,DH
2001,David Justice,NYY,35,923,DH
2004,Matt Diaz,TBD,26,1771,DH
2010,Jason Kubel,MIN,28,2161,DH
1982,Mike Ivie,- - -,29,1006284,DH
2000,Matt Stairs,OAK,32,1384,DH
2021,Austin Meadows,TBR,26,15672,DH
1992,Sam Horn,BAL,28,1006029,DH
1983,Kirk Gibson,DET,26,1004669,DH
2022,Harold Ramirez,TBR,27,14387,DH
1988,Glenn Braggs,MIL,25,1001333,DH
1999,Todd Walker,MIN,26,359,DH
2020,Andrew McCutchen,PHI,33,9847,DH
2018,Adrian Beltre,TEX,39,639,DH
2008,Garret Anderson,LAA,36,2,DH
2022,Giancarlo Stanton,NYY,32,4949,DH
2016,Joe Mauer,MIN,33,1857,DH
1984,Rod Allen,DET,24,1000158,DH
1986,Andre Thornton,CLE,36,1013037,DH
2001,Greg Myers,- - -,35,933,DH
1983,Daryl Sconiers,CAL,24,1011670,DH
2011,Johnny Damon,TBR,37,185,DH
2007,J.R. House,BAL,27,992,DH
1982,Ron Kittle,CHW,24,1006982,DH
1988,Joey Meyer,MIL,26,1008829,DH
2005,Prince Fielder,MIL,21,4613,DH
2001,Brad Fullmer,TOR,26,13,DH
1992,Harold Baines,OAK,33,1000434,DH
2009,Brayan Pena,KCR,27,3231,DH
2006,Jonny Gomes,TBD,25,1845,DH
1981,Gary Gray,SEA,28,1004970,DH
1998,Joe Carter,- - -,38,1002018,DH
1983,Randy Bush,MIN,24,1001756,DH
1992,George Brett,KCR,39,1001400,DH
2021,Trey Mancini,BAL,29,15149,DH
1980,Glenn Adams,MIN,32,1000052,DH
1983,Jeff Burroughs,OAK,32,1001731,DH
2006,Shea Hillenbrand,- - -,30,196,DH
1989,Ken Phelps,- - -,34,1010277,DH
2013,Luke Scott,TBR,35,3469,DH
2005,Josh Phelps,TBD,27,1318,DH
1992,Glenallen Hill,CLE,27,1005820,DH
2008,Matt Stairs,- - -,40,1384,DH
2014,Matt Joyce,TBR,29,3353,DH
1987,Lonnie Smith,KCR,31,1012176,DH
2017,Evan Gattis,HOU,30,11003,DH
2000,Harold Baines,- - -,41,1000434,DH
2017,Chad Huffman,STL,32,5311,DH
2012,Seth Smith,OAK,29,7331,DH
1985,Jerry Hairston,CHW,33,1005210,DH
2015,Joey Butler,TBR,29,7799,DH
2018,Tyler Austin,- - -,26,11850,DH
1993,Bernardo Brito,MIN,29,1001444,DH
1980,Reggie Walton,SEA,27,1013594,DH
1992,Joey Cora,CHW,27,1002607,DH
1996,Pedro Munoz,OAK,27,1009331,DH
1990,Ron Kittle,- - -,32,1006982,DH
2011,Ryan Lavarnway,BOS,23,8879,DH
1984,Jeff Burroughs,OAK,33,1001731,DH
2014,C.J. Cron,LAA,24,12546,DH
2022,Salvador Perez,KCR,32,7304,DH
2001,Dean Palmer,DET,32,482,DH
2009,Ken Griffey Jr.,SEA,39,327,DH
1991,Rance Mulliniks,TOR,35,1009309,DH
2004,Matthew LeCroy,MIN,28,1456,DH
2006,Matt Stairs,- - -,38,1384,DH
2016,Billy Butler,- - -,30,7399,DH
1991,Wayne Housie,BOS,26,1006065,DH
1980,Merv Rettenmund,CAL,37,1010846,DH
1984,Dave Hostetler,TEX,28,1006044,DH
1987,Mike Young,BAL,27,1014386,DH
2004,Brad Fullmer,TEX,29,13,DH
2003,Ruben Sierra,- - -,37,1099,DH
2000,Midre Cummings,- - -,28,1927,DH
2019,Justin Smoak,TOR,32,9054,DH
1986,Mike Young,BAL,26,1014386,DH
2021,Jorge Soler,- - -,29,14221,DH
1989,Dave Parker,OAK,38,1010000,DH
1983,Tack Wilson,MIN,28,1014106,DH
2022,Vinny Capra,TOR,25,25040,DH
1993,Andre Dawson,BOS,38,1003091,DH
2004,Jason Giambi,NYY,33,818,DH
2019,Renato Nunez,BAL,25,14503,DH
2002,Matthew LeCroy,MIN,26,1456,DH
1996,Eddie Murray,- - -,40,1009386,DH
2004,Josh Phelps,- - -,26,1318,DH
1988,Pat Tabler,- - -,30,1012806,DH
2017,Kennys Vargas,MIN,26,12101,DH
2020,Miguel Cabrera,DET,37,1744,DH
2004,Frank Catalanotto,TOR,30,1241,DH
1986,Jorge Orta,KCR,35,1009853,DH
2008,Mike Sweeney,OAK,34,634,DH
1993,Kevin Maas,NYY,28,1007895,DH
2005,Aaron Hill,TOR,23,6104,DH
1988,Dave Parker,OAK,37,1010000,DH
1983,Al Chambers,SEA,22,1002116,DH
1981,Tony Perez,BOS,39,1010188,DH
1997,Mike Simms,TEX,30,1011987,DH
1988,Cecil Fielder,TOR,24,1004026,DH
1993,George Brett,KCR,40,1001400,DH
2020,Ryan Braun,MIL,36,3410,DH
2008,Gary Sheffield,DET,39,114,DH
2020,Matt Kemp,COL,35,5631,DH
2013,Josh Willingham,MIN,34,2103,DH
2000,John Jaha,OAK,34,1006336,DH
1998,Cecil Fielder,- - -,34,1004026,DH
1989,Jeffrey Leonard,SEA,33,1007535,DH
2000,Luis Polonia,- - -,36,1010427,DH
1992,Tino Martinez,SEA,24,1168,DH
2010,Jose Guillen,- - -,34,57,DH
1991,George Brett,KCR,38,1001400,DH
1995,Danny Tartabull,- - -,32,1012829,DH
2011,Bobby Abreu,LAA,37,945,DH
2018,Matt Davidson,CHW,27,7226,DH
2014,Shin-Soo Choo,TEX,31,3174,DH
1998,Hal Morris,KCR,33,1009209,DH
2005,Frank Menechino,TOR,34,931,DH
2005,Bernie Castro,BAL,25,2096,DH
1994,Dave Winfield,MIN,42,1014127,DH
1982,Randy Bush,MIN,23,1001756,DH
1980,Cliff Johnson,- - -,32,1006437,DH
1999,Scott Pose,KCR,32,1010464,DH
2005,Carl Everett,CHW,34,1249,DH
1988,Steve Balboni,- - -,31,1000473,DH
2004,Melvin Upton Jr.,TBD,19,5015,DH
1993,Pete O'Brien,SEA,35,1009700,DH
2017,Matt Holliday,NYY,37,1873,DH
2008,Billy Butler,KCR,22,7399,DH
2003,David Segui,BAL,36,169,DH
1980,Darrell Porter,KCR,28,1010450,DH
1983,Richie Zisk,SEA,34,1014455,DH
1997,Joe Vitiello,KCR,27,1748,DH
1981,Carl Yastrzemski,BOS,41,1014326,DH
2017,Ryon Healy,OAK,25,15447,DH
1996,Mike Aldrete,- - -,35,1000114,DH
1989,Fred Lynn,DET,37,1007872,DH
1985,Dave Kingman,OAK,36,1006939,DH
1995,Greg Vaughn,MIL,29,1233,DH
2017,Kendrys Morales,TOR,34,8610,DH
2011,Vladimir Guerrero,BAL,36,778,DH
2007,Greg Norton,TBD,34,1388,DH
2012,Nick Johnson,BAL,33,828,DH
1993,Jim Walewander,CAL,31,1013506,DH
2018,Jose Rondon,CHW,24,14140,DH
2013,Josh Hamilton,LAA,32,1875,DH
2003,Jeremy Giambi,BOS,28,913,DH
2015,Jesus Aguilar,CLE,25,11342,DH
2008,Jose Guillen,KCR,32,57,DH
2022,Donovan Solano,CIN,34,8623,DH
2007,Juan Rivera,LAA,28,843,DH
2018,Joe Mauer,MIN,35,1857,DH
2006,Garret Anderson,LAA,34,2,DH
2004,Dave Hansen,- - -,35,1403,DH
1995,Michael Tucker,KCR,24,635,DH
1981,Larry Hisle,MIL,34,1005858,DH
1989,Rick Leach,TEX,32,1007426,DH
2016,Corey Dickerson,TBR,27,10762,DH
1986,Ron Washington,MIN,34,1013658,DH
1995,Chris James,- - -,32,1006347,DH
2015,David Murphy,- - -,33,6035,DH
1990,Tracy Jones,- - -,29,1006600,DH
2019,Miguel Cabrera,DET,36,1744,DH
1981,Champ Summers,DET,35,1012718,DH
1990,Glenallen Hill,TOR,25,1005820,DH
1982,Cliff Johnson,OAK,34,1006437,DH
2002,Ruben Sierra,SEA,36,1099,DH
2015,C.J. Cron,LAA,25,12546,DH
2005,Lew Ford,MIN,28,1724,DH
2017,Hanley Ramirez,BOS,33,8001,DH
1987,Gene Larkin,MIN,24,1007347,DH
2007,Mike Piazza,OAK,38,893,DH
2013,Seth Smith,OAK,30,7331,DH
2005,Matt Diaz,KCR,27,1771,DH
1989,Mel Hall,NYY,28,1005259,DH
2021,Yermin Mercedes,CHW,28,17423,DH
1990,George Bell,TOR,30,1000808,DH
1996,Wil Cordero,BOS,24,770,DH
1983,Dave Hostetler,TEX,27,1006044,DH
2020,Daniel Vogelbach,- - -,27,14130,DH
1986,Ben Oglivie,MIL,37,1009746,DH
2021,Eloy Jimenez,CHW,24,17484,DH
2022,Ketel Marte,ARI,28,13613,DH
2022,Charlie Blackmon,COL,35,7859,DH
1993,Bo Jackson,CHW,30,1006290,DH
2011,Russ Canzler,TBR,25,8265,DH
2015,Evan Gattis,HOU,28,11003,DH
1998,Paul Sorrento,TBD,32,1012282,DH
1984,Mickey Rivers,TEX,35,1011005,DH
2001,Frank Thomas,CHW,33,255,DH
2006,Kevin Barker,TOR,30,1019,DH
2004,Edgar Martinez,SEA,41,1086,DH
1998,Trey Beamon,DET,24,1000711,DH
1990,Larry Sheets,DET,30,1011852,DH
1987,Terry Harper,- - -,31,1005382,DH
2015,Steve Clevenger,BAL,29,9542,DH
2012,Adam Lind,TOR,28,8027,DH
1985,Andre Thornton,CLE,35,1013037,DH
1992,Kevin Maas,NYY,27,1007895,DH
2010,Juan Miranda,NYY,27,7783,DH
1989,Denny Gonzalez,CLE,25,1004830,DH
1984,Greg Luzinski,CHW,33,1007855,DH
1997,Phil Nevin,DET,26,1049,DH
1992,George Bell,CHW,32,1000808,DH
1984,Ricky Nelson,SEA,25,1009509,DH
2005,Garret Anderson,LAA,33,2,DH
1981,Paul Molitor,MIL,24,1009040,DH
2002,David Segui,BAL,35,169,DH
2018,Lucas Duda,- - -,32,2502,DH
1995,Dion James,NYY,32,1006349,DH
2014,Josmil Pinto,MIN,25,6806,DH
2001,Tony Fernandez,- - -,39,1004002,DH
2008,Tony Clark,- - -,36,182,DH
1989,Keith Moreland,- - -,35,1009161,DH
1997,David Dellucci,BAL,23,1402,DH
1998,Paul Molitor,MIN,41,1009040,DH
2004,Ruben Sierra,NYY,38,1099,DH
1984,Reggie Jackson,CAL,38,1006308,DH
2015,Jimmy Paredes,BAL,26,5481,DH
1996,Chip Hale,MIN,31,1005220,DH
2013,Delmon Young,- - -,27,2140,DH
1993,Sherman Obando,BAL,23,1009675,DH
2022,Jake Lamb,- - -,31,13329,DH
2000,Eric Byrnes,OAK,24,905,DH
1981,Rick Peters,DET,25,1010237,DH
2020,Phil Gosselin,PHI,31,10953,DH
2009,Hank Blalock,TEX,28,1419,DH
2011,Jorge Posada,NYY,39,841,DH
1994,Brian Harper,MIL,34,1005376,DH
1982,Lamar Johnson,TEX,31,1006481,DH
2013,Lance Berkman,TEX,37,548,DH
2002,Travis Hafner,TEX,25,1573,DH
1990,Steve Balboni,NYY,33,1000473,DH
1991,Carlos Martinez,CLE,25,1008158,DH
1988,Dave Clark,CLE,25,1002277,DH
2004,Carl Everett,- - -,33,1249,DH
2022,Trey Mancini,- - -,30,15149,DH
2008,David Dellucci,CLE,34,1402,DH
1990,Jim Lindeman,DET,28,1007618,DH
2013,Max Stassi,HOU,22,10059,DH
2020,Shin-Soo Choo,TEX,37,3174,DH
1989,Dave Clark,CLE,26,1002277,DH
1992,Jack Clark,BOS,36,1002288,DH
1998,Bip Roberts,- - -,34,1011023,DH
1987,Mike Easler,- - -,36,1003635,DH
1995,Chip Hale,MIN,30,1005220,DH
2015,Billy Butler,OAK,29,7399,DH
2022,Luke Voit,- - -,31,14811,DH
1988,Jim Eppard,CAL,28,1003796,DH
2021,Jed Lowrie,OAK,37,4418,DH
2021,Luis Torrens,SEA,25,15905,DH
1985,Oscar Gamble,CHW,35,1004473,DH
1997,Kevin Seitzer,CLE,35,1011730,DH
1994,Eddie Murray,CLE,38,1009386,DH
2013,Ryan Doumit,MIN,32,2113,DH
2016,Justin Morneau,CHW,35,1737,DH
1992,Julio Franco,TEX,33,87,DH
1991,Patrick Lennon,SEA,23,1007527,DH
2018,Evan Gattis,HOU,31,11003,DH
2007,Mike Sweeney,KCR,33,634,DH
1981,Lee May,KCR,38,1008303,DH
2014,Billy Butler,KCR,28,7399,DH
1993,Damon Buford,BAL,23,1001635,DH
1986,Gorman Thomas,- - -,35,1012979,DH
1992,Wayne Kirby,CLE,28,1006964,DH
1994,Andre Dawson,BOS,39,1003091,DH
1989,Beau Allred,CLE,24,1000171,DH
1985,Alan Bannister,TEX,33,1000515,DH
2017,Chris Young,BOS,33,3882,DH
2014,Carlos Beltran,NYY,37,589,DH
2018,Daniel Vogelbach,SEA,25,14130,DH
2010,Adam Lind,TOR,26,8027,DH
1988,Rick Leach,TOR,31,1007426,DH
1999,Scarborough Green,TEX,25,1005011,DH
2015,Richie Shaffer,TBR,24,13271,DH
1982,Bobby Murcer,NYY,36,1009338,DH
1989,Matt Nokes,DET,25,1009615,DH
1986,Ron Kittle,- - -,28,1006982,DH
1982,Jerry Turner,DET,28,1013228,DH
2022,Andrew McCutchen,MIL,35,9847,DH
2010,Kila Ka'aihue,KCR,26,4707,DH
2014,Nolan Reimold,- - -,30,3441,DH
1990,Mel Hall,NYY,29,1005259,DH
2011,Fernando Martinez,NYM,22,9210,DH
2020,Yoshi Tsutsugo,TBR,28,27459,DH
1985,Nelson Simmons,DET,22,1011984,DH
2008,Miguel Olivo,KCR,29,1638,DH
2018,Hanley Ramirez,BOS,34,8001,DH
1983,Jorge Orta,TOR,32,1009853,DH
1994,Dave Henderson,KCR,35,1005630,DH
2000,Mark Sweeney,MIL,30,1408,DH
2011,Jack Cust,SEA,32,1564,DH
