Season,Name,Team,Age,playerid,Pos_Cat
2011,David Ortiz,BOS,35,745,DH
2006,Jason Giambi,NYY,35,818,DH
1996,John Jaha,MIL,30,1006336,DH
1986,Al Woods,MIN,32,1014234,DH
1986,Ken Phelps,SEA,31,1010277,DH
2006,Greg Dobbs,SEA,27,2158,DH
1998,Tim Salmon,ANA,29,32,DH
1987,Rickey Henderson,NYY,28,194,DH
2000,David Justice,- - -,34,923,DH
2003,Frank Thomas,CHW,35,255,DH
1982,Kevin Rhomberg,CLE,26,1010888,DH
2003,Jason Giambi,NYY,32,818,DH
1996,Dave Nilsson,MIL,26,1009601,DH
2002,Rafael Palmeiro,TEX,37,1266,DH
1984,Kevin Buckley,TEX,25,1001624,DH
1994,Paul Molitor,TOR,37,1009040,DH
1987,Sam Horn,BOS,23,1006029,DH
1983,Chris Nyman,CHW,28,1009669,DH
1988,Carlos Quintana,BOS,22,1010616,DH
1995,Harold Baines,BAL,36,1000434,DH
1993,Paul Molitor,TOR,36,1009040,DH
2003,David Ortiz,BOS,27,745,DH
2000,Mike Sweeney,KCR,26,634,DH
2013,David Ortiz,BOS,37,745,DH
1982,Oscar Gamble,NYY,32,1004473,DH
1995,Jose Canseco,BOS,30,1001918,DH
2000,Rafael Palmeiro,TEX,35,1266,DH
2020,Yordan Alvarez,HOU,23,19556,DH
1992,Danny Tartabull,NYY,29,1012829,DH
2000,Jim Thome,CLE,29,409,DH
2007,Reggie Sanders,KCR,39,1129,DH
1990,Jose Canseco,OAK,25,1001918,DH
1994,Jose Canseco,TEX,29,1001918,DH
2018,Ryan O'Hearn,KCR,24,16442,DH
1988,Kent Hrbek,MIN,28,1006117,DH
2018,Matt Skole,CHW,28,12119,DH
1994,Julio Franco,CHW,35,87,DH
1982,Hal McRae,KCR,36,1008687,DH
2015,Ryan Raburn,CLE,34,2218,DH
1984,Cliff Johnson,TOR,36,1006437,DH
2007,Jack Cust,OAK,28,1564,DH
1980,Champ Summers,DET,34,1012718,DH
2007,Vladimir Guerrero,LAA,32,778,DH
2000,Olmedo Saenz,OAK,29,937,DH
2015,Nelson Cruz,SEA,34,2434,DH
2012,Edwin Encarnacion,TOR,29,2151,DH
2002,Josh Phelps,TOR,24,1318,DH
2009,Adam Lind,TOR,25,8027,DH
2015,Alfredo Marte,LAA,26,5212,DH
2020,Jesse Winker,CIN,26,13590,DH
1999,Harold Baines,- - -,40,1000434,DH
2001,Rafael Palmeiro,TEX,36,1266,DH
1994,Reggie Jefferson,SEA,25,1006381,DH
1999,Craig Grebeck,TOR,34,1004982,DH
2020,Austin Slater,SFG,27,16153,DH
1995,Mickey Tettleton,TEX,34,1012939,DH
1998,Homer Bush,NYY,25,1425,DH
1984,Mike Easler,BOS,33,1003635,DH
1984,Ken Phelps,SEA,29,1010277,DH
1999,Mike Sweeney,KCR,25,634,DH
2021,Shohei Ohtani,LAA,26,19755,DH
1993,Warren Newson,CHW,28,1009549,DH
2022,Brian O'Keefe,SEA,28,16680,DH
1999,Jose Canseco,TBD,34,1001918,DH
2003,Nick Johnson,NYY,24,828,DH
1992,Eric Wedge,BOS,24,1013723,DH
1999,Brian Daubach,BOS,27,186,DH
1986,Ron Hassey,- - -,33,1005479,DH
1986,Darrell Porter,TEX,34,1010450,DH
2015,Miguel Sano,MIN,22,12164,DH
2004,Erubiel Durazo,OAK,29,1413,DH
2006,Frank Thomas,OAK,38,255,DH
2015,Edwin Encarnacion,TOR,32,2151,DH
1982,Don Money,MIL,35,1009052,DH
1991,Paul Molitor,MIL,34,1009040,DH
1991,Chili Davis,MIN,31,1003041,DH
1996,Harold Baines,CHW,37,1000434,DH
1993,Harold Baines,BAL,34,1000434,DH
2018,Shohei Ohtani,LAA,23,19755,DH
2000,Glenallen Hill,- - -,35,1005820,DH
1989,Mickey Tettleton,BAL,28,1012939,DH
2004,Mickey Lopez,SEA,30,2283,DH
1996,Kevin Seitzer,- - -,34,1011730,DH
2014,Edwin Encarnacion,TOR,31,2151,DH
1989,Dwight Evans,BOS,37,1003865,DH
1997,Mike Stanley,- - -,34,1012416,DH
2000,David Segui,- - -,33,169,DH
1982,Jeff Burroughs,OAK,31,1001731,DH
1987,Hal McRae,KCR,41,1008687,DH
2017,Rob Brantly,CHW,27,10655,DH
2014,Jose Pirela,NYY,24,5485,DH
2013,Edwin Encarnacion,TOR,30,2151,DH
1988,Rance Mulliniks,TOR,32,1009309,DH
2003,Edgar Martinez,SEA,40,1086,DH
1980,Jason Thompson,- - -,25,1013014,DH
1987,Brian Downing,CAL,36,1003451,DH
2004,Troy Glaus,ANA,27,15,DH
1999,David Justice,CLE,33,923,DH
2010,Luke Scott,BAL,32,3469,DH
2005,Jonny Gomes,TBD,24,1845,DH
2003,Aaron Miles,CHW,26,1844,DH
2008,Aubrey Huff,BAL,31,1213,DH
2002,Ellis Burks,CLE,37,372,DH
2019,J.D. Martinez,BOS,31,6184,DH
1992,Dave Winfield,TOR,40,1014127,DH
1997,Juan Gonzalez,TEX,27,1251,DH
1981,Richie Zisk,SEA,32,1014455,DH
2017,Nelson Cruz,SEA,36,2434,DH
1999,Frank Thomas,CHW,31,255,DH
2009,Jason Kubel,MIN,27,2161,DH
1987,Larry Herndon,DET,33,1005717,DH
1998,Reggie Jefferson,BOS,29,1006381,DH
2011,Paul Konerko,CHW,35,242,DH
1998,Bubba Trammell,TBD,26,1057,DH
1995,Eddie Murray,CLE,39,1009386,DH
2006,Alexi Casilla,MIN,21,5248,DH
2017,Adrian Beltre,TEX,38,639,DH
1997,Kimera Bartee,DET,24,1000622,DH
1995,Juan Gonzalez,TEX,25,1251,DH
1992,Brian Downing,TEX,41,1003451,DH
2010,Manny Ramirez,- - -,38,210,DH
2001,Ellis Burks,CLE,36,372,DH
2000,Izzy Alcantara,BOS,27,1558,DH
2016,Nelson Cruz,SEA,35,2434,DH
1994,Kirk Gibson,DET,37,1004669,DH
2013,Joe Mauer,MIN,30,1857,DH
1981,Greg Luzinski,CHW,30,1007855,DH
2007,Hank Blalock,TEX,26,1419,DH
1996,Curtis Pride,DET,27,1762,DH
2010,David Ortiz,BOS,34,745,DH
2001,Mike Sweeney,KCR,27,634,DH
2002,Edgar Martinez,SEA,39,1086,DH
1997,Chili Davis,KCR,37,1003041,DH
2018,Steve Pearce,- - -,35,9957,DH
1987,Cecil Fielder,TOR,23,1004026,DH
1997,Juan Samuel,TOR,36,1011400,DH
1989,Harold Baines,- - -,30,1000434,DH
2006,Greg Norton,TBD,33,1388,DH
2013,Danny Valencia,BAL,28,6364,DH
2008,Oscar Salazar,BAL,30,495,DH
2021,George Springer,TOR,31,12856,DH
2006,Hideki Matsui,NYY,32,1659,DH
1981,Jim Maler,SEA,22,1008017,DH
2003,Dmitri Young,DET,29,505,DH
1994,Greg Pirkl,SEA,23,1010367,DH
1982,Andre Thornton,CLE,32,1013037,DH
1998,Darryl Strawberry,NYY,36,1012606,DH
1987,Fred McGriff,TOR,23,293,DH
1988,John Rabb,SEA,28,1010625,DH
2022,Albert Pujols,STL,42,1177,DH
